755434174ULL 1911190ULL
755987348ULL 1725740ULL
755840280ULL 1814440ULL
758330115ULL 1675888ULL
756254692ULL 1798162ULL
756125215ULL 1891010ULL
755254376ULL 1901801ULL
756714732ULL 1835820ULL
754824374ULL 1781489ULL
755708029ULL 1819252ULL
755404507ULL 1746727ULL
755368237ULL 1822242ULL
755221517ULL 1552258ULL
758121782ULL 1641031ULL
756335516ULL 1662205ULL
758800159ULL 1614201ULL
756861109ULL 1672196ULL
754588935ULL 1575024ULL
758973878ULL 1521662ULL
759464392ULL 1628763ULL
755489763ULL 1671232ULL
758170689ULL 1762558ULL
755176730ULL 1692611ULL
758866836ULL 1804737ULL
756719429ULL 1740094ULL
755432975ULL 1534594ULL
755507998ULL 1556143ULL
755514174ULL 1551102ULL
754991671ULL 1716160ULL
755940354ULL 1691343ULL
755639348ULL 1734805ULL
760224922ULL 1745020ULL
754835178ULL 1851489ULL
755829116ULL 1920917ULL
754851806ULL 1651659ULL
755285755ULL 1851128ULL
755385633ULL 1712000ULL
755918630ULL 1733027ULL
755774668ULL 1844474ULL
755315158ULL 1736279ULL
755821284ULL 1953197ULL
755563565ULL 1865403ULL
755724313ULL 1833283ULL
756201966ULL 1639540ULL
758494185ULL 1699411ULL
755393589ULL 1640350ULL
757835604ULL 1613967ULL
755971578ULL 1673159ULL
754865054ULL 1469567ULL
755340320ULL 1609995ULL
