755345985ULL 1637646ULL
755634803ULL 1649324ULL
757060057ULL 1569021ULL
755378537ULL 1788690ULL
755426573ULL 1729937ULL
754177306ULL 1685995ULL
755248056ULL 1658200ULL
755713276ULL 1850927ULL
754844463ULL 1776512ULL
755357651ULL 1677995ULL
755339250ULL 1569996ULL
756046716ULL 2064874ULL
755726892ULL 1793037ULL
755351312ULL 1630333ULL
755313668ULL 1674803ULL
755154926ULL 1817286ULL
756028400ULL 1879307ULL
754731349ULL 1688592ULL
756709891ULL 1964209ULL
755532352ULL 1749384ULL
755702575ULL 1791292ULL
755525399ULL 1714836ULL
755713522ULL 1753675ULL
755196323ULL 1671614ULL
755317805ULL 1602821ULL
755955531ULL 1682078ULL
755626845ULL 1787430ULL
755054041ULL 1574098ULL
755911977ULL 1665235ULL
755433977ULL 1550290ULL
755763171ULL 1591027ULL
757294675ULL 1856640ULL
755154335ULL 1533911ULL
755980149ULL 1613542ULL
756364752ULL 1738002ULL
756884843ULL 1608046ULL
755659895ULL 1648186ULL
758792060ULL 1826729ULL
754987375ULL 1778433ULL
756078209ULL 1763332ULL
755663704ULL 1771886ULL
754635041ULL 1701776ULL
755187827ULL 1747536ULL
755214665ULL 1679469ULL
755873689ULL 1618016ULL
755528812ULL 1756619ULL
758651613ULL 1816654ULL
757699677ULL 1905909ULL
756323293ULL 1868850ULL
757328242ULL 1806051ULL
